total,ev_q_log_p_y,ev_q_log_p_z,entropy_q_z,ev_q_log_p_alpha,entropy_q_alpha,ev_q_log_p_kappa,entropy_q_kappa,neg_kl_q_p_phi,neg_kl_q_p_tau_alpha,neg_kl_q_p_mu_kappa,neg_kl_q_p_lambda_kappa,neg_kl_q_p_beta,neg_kl_q_p_gamma,neg_kl_q_p_rho,neg_kl_q_p_delta,neg_kl_q_p_delta_kappa,neg_kl_q_p_delta_beta,neg_kl_q_p_delta_gamma
-444361.8806625742,-131088.98334520857,-168898.13716846364,57030.46344792099,-2223880.029609055,2168207.410396679,-55567.64717131377,11334.024883514821,-35469.1738448586,-405.84291107207537,-295.4924890153869,-15532.396446215189,-4325.798640142474,-2161.8093852431566,-43004.69266396618,-295.4882979423449,-4.503918459043348,-2.0742655800861796,-1.709234153190575
-420256.13823220495,-114420.15734520316,-168017.42393200262,44943.409716329516,-2251595.2012474257,2199485.1166792233,-42788.17524213581,5614.132025228039,-23488.830079766358,-406.0396416661097,-358.5425757743771,-19584.795493719106,-4273.943353619919,-2136.089865214283,-42927.64505460209,-293.5722293712387,-4.49490587787006,-2.1278859684991698,-1.7578006388014966
-409439.3547661975,-101722.25396519995,-164582.75516214877,34139.594537518846,-2280089.4883856573,2227251.3674038216,-41241.739751729896,5081.74409594985,-17785.041250761355,-406.3665894102305,-365.82186362502443,-20109.32022137736,-4255.9690516092,-2127.073654050282,-42925.995424525834,-291.7881666073878,-4.4985104500661866,-2.160133972119081,-1.788672363122267
-401158.611024087,-90611.10600489764,-160398.54655782666,24299.45308345699,-2309473.966011376,2254942.566750327,-41727.14701152838,6081.944419852697,-13963.254027888735,-406.8312801766442,-366.68768632002354,-19941.92150424363,-4237.51899015181,-2117.8274803646323,-42939.286715899485,-289.9567616391241,-4.498997608830026,-2.203807218354111,-1.8224405835366875
-394227.2521423691,-81466.3564143284,-156659.06448984199,16223.86434339868,-2339730.312538748,2283537.6314749587,-42555.30231448635,7450.446240039694,-11017.895003793665,-407.4400644771522,-366.44354721143407,-19659.4775231247,-4218.487712077384,-2108.299339312003,-42953.427292659835,-288.0717198641299,-4.49832387726873,-2.256280394484827,-1.8616365694525916
-388438.96684283076,-74568.92168945383,-153515.20877479442,10135.83609535974,-2370618.971765534,2312982.2611113875,-43407.40633664101,8909.687011735514,-8653.449076780467,-408.1927966114599,-366.01746878435625,-19371.388568797916,-4198.891273517037,-2098.4891804648787,-42964.96274730533,-286.13528152339387,-4.496543482565201,-2.315135290712091,-1.9044223318932636
-383915.0690936052,-69840.06494192457,-150997.04420245966,5927.479802720931,-2401872.6646417235,2343051.6634494043,-44222.939912053465,10392.993200994937,-6947.896168577499,-409.08414504281245,-365.58489172085586,-19097.882906628223,-4178.887947539019,-2088.4765587824395,-42973.69516905635,-284.16382801123217,-4.493977145413881,-2.3766409189336923,-1.9496151412581182
-380382.3464889646,-66869.57976132807,-149144.90384134836,3314.0366239891387,-2433213.9708788325,2373477.8309406103,-44989.909843619556,11877.037292140772,-5707.479903298325,-410.1038366826251,-365.17949086769227,-18842.585950098768,-4158.654050248678,-2078.348449294264,-42979.4347577875,-282.17520432179685,-4.49077380766979,-2.438429090839323,-1.9961750780717085
-377695.253114349,-65133.776373054025,-147722.30883534552,1791.7294769562775,-2464237.318234473,2403745.0545696975,-45720.65841489002,13346.930820381844,-4910.167691090136,-411.23227290424984,-364.80697171308043,-18601.038581898025,-4138.37025299397,-2068.19475112284,-42981.87874386887,-280.1875710609158,-4.487221167019962,-2.4989787294033388,-2.043087073796694
-375575.1514109987,-64157.608524957104,-146577.36255035043,941.856620756197,-2494689.6343344464,2433539.0327734873,-46423.52943707679,14787.500079699734,-4402.339646701997,-412.4504601196386,-364.45888353705914,-18370.268915959063,-4118.299063865797,-2058.146831402515,-42982.085372065376,-278.2270335657137,-4.483529804500268,-2.5572549850439286,-2.0890461047953464
-373910.26016156067,-63620.92910718067,-145598.51044242535,471.37322601144876,-2524363.7028346425,2462603.726424502,-47103.09289982456,16189.861623922658,-4149.427226444106,-413.7386021022685,-364.1286414454987,-18148.612259454832,-4098.603734668513,-2048.2872794601262,-42980.65238228307,-276.3097711556462,-4.479748827017283,-2.6127829444324533,-2.133723138336696
-372453.09521767375,-63327.82838338475,-144748.42565350374,222.90472001581747,-2553522.748822601,2491212.8615268962,-47762.09307666814,17546.759238026145,-3978.2724169825833,-415.09778897534125,-363.8118425775622,-17935.0443374622,-4079.4177352553966,-2038.6827193406602,-42980.430737200426,-274.44898113646605,-4.475934902891132,-2.6654566948995013,-2.176815925794079
-371196.80774842825,-63189.27266524775,-143960.60736583133,104.65393674889609,-2581955.828473578,2519098.9041140457,-48409.16923307371,18869.97386299942,-3898.2410501329446,-416.5088014693465,-363.50522370426256,-17726.678985565104,-4060.5703254519344,-2029.2478036153568,-42978.677531027046,-272.62716985872424,-4.4719139232457525,-2.7150080134835055,-2.218111729781788
-370044.6143031806,-63122.36987544608,-143229.6523207759,48.44294295885237,-2609867.2916726773,2546493.643712409,-49042.98278672207,20153.193741495917,-3852.0009921173955,-417.9731444895733,-363.20266677627274,-17523.88101790933,-4042.197245684597,-2020.050231343609,-42977.948586335624,-270.85744065714835,-4.4677201124790304,-2.7615129401504652,-2.25748605656242
-368977.1132109247,-63086.13337176746,-142533.5903608783,22.000986039068046,-2637187.8751059743,2573302.672868804,-49668.351910423415,21404.86570330985,-3832.7600312564437,-419.4797524851747,-362.90422459134084,-17325.066199046134,-4024.165818745068,-2011.023739305426,-42976.613088236736,-269.1261766363671,-4.46326857422903,-2.8050027961594144,-2.2947183609145103
